"dataset","property_type","town","transaction_date","price","size_sqm","year","quarter"
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
"HDB Resale","HDB Resale","Unknown","",0,"","",""
